timestamp,level,outcome,duration,units_deployed,damage_to_units,damage_to_towers,resources_used
2025-05-10T17:37:29.359066,1,win,36.62,"{'LumberJack': 10, 'KarasuTengu': 7, 'BrownBeard': 3}","{'LumberJack': 367.8, 'KarasuTengu': 359.0, 'BrownBeard': 276.5}","{'KarasuTengu': 25, 'LumberJack': 60, 'BrownBeard': 30}","{'solar': 32, 'lunar': 14, 'eclipse': 0}"
2025-05-10T17:38:24.883511,2,win,54.26,"{'KarasuTengu': 22, 'Pantheon': 4}","{'KarasuTengu': 1422.75, 'Pantheon': 986.25}","{'KarasuTengu': 40, 'Pantheon': 60}","{'solar': 0, 'lunar': 60, 'eclipse': 4}"
2025-05-10T17:44:36.956352,1,win,25.95,"{'LumberJack': 9, 'Pantheon': 2}","{'LumberJack': 618.3, 'Pantheon': 87.0}","{'LumberJack': 90, 'Pantheon': 15}","{'solar': 18, 'lunar': 8, 'eclipse': 2}"
2025-05-10T18:05:02.375812,1,win,30.28,"{'LumberJack': 11, 'Pantheon': 2, 'BrownBeard': 1}","{'LumberJack': 634.2, 'Pantheon': 159.75, 'BrownBeard': 10.0}","{'LumberJack': 70, 'BrownBeard': 10, 'Pantheon': 30}","{'solar': 26, 'lunar': 8, 'eclipse': 2}"
2025-05-10T18:19:06.376204,1,win,48.2,"{'LumberJack': 11, 'BrownBeard': 3, 'Kitsune': 1}","{'LumberJack': 742.8, 'BrownBeard': 493.5, 'Kitsune': 71.61}","{'LumberJack': 80, 'BrownBeard': 10, 'Kitsune': 30}","{'solar': 42, 'lunar': 8, 'eclipse': 2}"
2025-05-10T18:19:54.708126,2,win,44.78,"{'KarasuTengu': 21, 'Pantheon': 1, 'YamabushiTengu': 1}","{'KarasuTengu': 1127.75, 'Pantheon': 594.0, 'YamabushiTengu': 387.0}","{'KarasuTengu': 65, 'YamabushiTengu': 20, 'Pantheon': 15}","{'solar': 0, 'lunar': 56, 'eclipse': 2}"
2025-05-10T18:21:56.673947,3,win,120.49,"{'KarasuTengu': 81, 'BrownBeard': 6}","{'KarasuTengu': 5276.25, 'BrownBeard': 962.5}","{'KarasuTengu': 80, 'BrownBeard': 20}","{'solar': 24, 'lunar': 162, 'eclipse': 0}"
2025-05-10T18:23:01.535112,4,win,61.75,"{'LumberJack': 25, 'Pantheon': 5, 'BrownBeard': 1}","{'LumberJack': 1332.3, 'Pantheon': 1111.5, 'BrownBeard': 157.0}","{'LumberJack': 70, 'Pantheon': 30, 'BrownBeard': 10}","{'solar': 54, 'lunar': 20, 'eclipse': 5}"
2025-05-10T18:23:44.120166,5,loss,40.86,{'KarasuTengu': 6},{'KarasuTengu': 601.5},"{'CentipedeBoss': 30, 'Homeless2': 40, 'Homeless1': 10, 'Homeless3': 20}","{'solar': 0, 'lunar': 12, 'eclipse': 0}"
2025-05-10T18:24:18.319725,5,win,32.95,"{'LumberJack': 14, 'Pantheon': 2}","{'LumberJack': 831.9, 'Pantheon': 322.5}","{'CentipedeBoss': 30, 'LumberJack': 70, 'Pantheon': 30}","{'solar': 28, 'lunar': 8, 'eclipse': 2}"
2025-05-10T18:25:44.238123,6,loss,84.95,"{'LumberJack': 26, 'KarasuTengu': 13}","{'LumberJack': 1626.0, 'KarasuTengu': 766.25}","{'Destroyer': 50, 'Swordsman': 10, 'BigBloatedBoss': 40}","{'solar': 52, 'lunar': 26, 'eclipse': 0}"
2025-05-10T18:40:34.983331,1,win,31.15,"{'LumberJack': 13, 'Pantheon': 2}","{'LumberJack': 696.0, 'Pantheon': 108.75}","{'LumberJack': 80, 'Pantheon': 30}","{'solar': 26, 'lunar': 8, 'eclipse': 2}"
2025-05-10T18:47:17.949332,1,win,181.12,"{'LumberJack': 14, 'Pantheon': 2}","{'LumberJack': 745.2, 'Pantheon': 159.0}","{'LumberJack': 80, 'Pantheon': 30}","{'solar': 28, 'lunar': 8, 'eclipse': 2}"
timestamp,level,outcome,duration,units_deployed,damage_to_units,damage_to_towers,resources_used
2025-05-10T11:59:40.719196,1,win,78.72,"{'Pantheon': 10, 'LumberJack': 14}","{'Pantheon': 1465.3, 'LumberJack': 776.99}","{'Pantheon': 25, 'LumberJack': 40}","{'solar': 28, 'lunar': 40, 'eclipse': 10}"
2025-05-10T12:02:39.351562,1,win,73.72,"{'Pantheon': 6, 'LumberJack': 13, 'KarasuTengu': 13, 'BrownBeard': 13}","{'Pantheon': 666.18, 'LumberJack': 835.62, 'KarasuTengu': 904.62, 'BrownBeard': 2666.32}","{'Pantheon': 22, 'LumberJack': 24, 'KarasuTengu': 39, 'BrownBeard': 22}","{'solar': 78, 'lunar': 50, 'eclipse': 6}"
2025-05-10T12:05:18.178855,1,win,51.14,"{'LumberJack': 15, 'BrownBeard': 11, 'Pantheon': 12, 'KarasuTengu': 7}","{'LumberJack': 1119.01, 'BrownBeard': 2567.67, 'Pantheon': 1224.99, 'KarasuTengu': 574.73}","{'LumberJack': 32, 'BrownBeard': 19, 'Pantheon': 46, 'KarasuTengu': 16}","{'solar': 74, 'lunar': 62, 'eclipse': 12}"
2025-05-10T12:08:34.575156,1,win,61.6,"{'LumberJack': 12, 'BrownBeard': 13}","{'LumberJack': 662.81, 'BrownBeard': 3863.93}","{'LumberJack': 40, 'BrownBeard': 34}","{'solar': 76, 'lunar': 0, 'eclipse': 0}"
2025-05-10T12:04:23.270917,1,win,71.96,"{'BrownBeard': 15, 'Pantheon': 11, 'KarasuTengu': 9, 'LumberJack': 8}","{'BrownBeard': 4390.54, 'Pantheon': 1551.96, 'KarasuTengu': 666.7, 'LumberJack': 486.0}","{'BrownBeard': 30, 'Pantheon': 50, 'KarasuTengu': 15, 'LumberJack': 37}","{'solar': 76, 'lunar': 62, 'eclipse': 11}"
2025-05-10T12:12:26.098399,1,win,24.11,"{'BrownBeard': 9, 'Pantheon': 11}","{'BrownBeard': 2373.96, 'Pantheon': 1471.51}","{'BrownBeard': 17, 'Pantheon': 34}","{'solar': 36, 'lunar': 44, 'eclipse': 11}"
2025-05-10T12:13:24.585854,1,win,48.93,"{'BrownBeard': 8, 'KarasuTengu': 6, 'Pantheon': 10, 'LumberJack': 14}","{'BrownBeard': 1948.37, 'KarasuTengu': 526.04, 'Pantheon': 1213.52, 'LumberJack': 942.83}","{'BrownBeard': 37, 'KarasuTengu': 29, 'Pantheon': 47, 'LumberJack': 25}","{'solar': 60, 'lunar': 52, 'eclipse': 10}"
2025-05-10T12:18:19.932206,1,win,71.85,"{'Pantheon': 8, 'KarasuTengu': 13, 'LumberJack': 5}","{'Pantheon': 950.59, 'KarasuTengu': 954.92, 'LumberJack': 393.09}","{'Pantheon': 43, 'KarasuTengu': 16, 'LumberJack': 24}","{'solar': 10, 'lunar': 58, 'eclipse': 8}"
2025-05-10T12:17:41.297979,1,win,87.56,"{'BrownBeard': 12, 'Pantheon': 9, 'LumberJack': 14}","{'BrownBeard': 3301.43, 'Pantheon': 1057.76, 'LumberJack': 951.8}","{'BrownBeard': 48, 'Pantheon': 21, 'LumberJack': 40}","{'solar': 76, 'lunar': 36, 'eclipse': 9}"
2025-05-10T12:20:33.127240,1,win,31.03,"{'KarasuTengu': 8, 'LumberJack': 10}","{'KarasuTengu': 602.62, 'LumberJack': 562.32}","{'KarasuTengu': 30, 'LumberJack': 15}","{'solar': 20, 'lunar': 16, 'eclipse': 0}"
2025-05-10T12:25:21.105869,1,loss,27.28,"{'LumberJack': 9, 'KarasuTengu': 12, 'Pantheon': 5, 'BrownBeard': 11}","{'LumberJack': 573.65, 'KarasuTengu': 993.77, 'Pantheon': 545.15, 'BrownBeard': 2747.86}","{'LumberJack': 38, 'KarasuTengu': 29, 'Pantheon': 37, 'BrownBeard': 24}","{'solar': 62, 'lunar': 44, 'eclipse': 5}"
2025-05-10T12:31:16.085410,1,win,42.5,"{'LumberJack': 12, 'BrownBeard': 11, 'Pantheon': 15, 'KarasuTengu': 14}","{'LumberJack': 807.07, 'BrownBeard': 3225.68, 'Pantheon': 2246.35, 'KarasuTengu': 889.29}","{'LumberJack': 35, 'BrownBeard': 33, 'Pantheon': 48, 'KarasuTengu': 32}","{'solar': 68, 'lunar': 88, 'eclipse': 15}"
